"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
7.7701892341445,6.52061100717085,1.18711880875236,17.1243034229099,0.000191207427478821,0.00403160590007044,NA
4.24026658654943,6.26838991327031,1.55984116376467,17.7772049641952,0.000137952314158717,0.00317396931772281,"MED31"
21.3414903410229,6.10384258134169,1.41101416104318,18.7927348251316,8.3025114419794e-05,0.00222490640998582,"TENT2"
6.96755975694889,6.07401619435223,1.38665493770334,10.2537831653983,0.0059349802259268,0.0368577870851675,NA
7.49570461253794,6.01124901011402,1.07213675753785,19.4959474241402,5.84129052595992e-05,0.00169830958534061,"SNRNP35"
3.24756509715004,5.99879904263708,1.75415165204834,11.989611082542,0.00249166145186923,0.0214150533328669,"DHRS4"
3.27110711336929,5.96769776591538,1.89941237543123,10.5975204152364,0.00499778628484742,0.0332128326448789,"ZNF233"
3.73740014080887,5.93819617367277,1.30792457638204,21.6868178608148,1.95329274278919e-05,0.000739865541199998,"LUZP2"
6.14795145932141,5.92679599766571,0.982044723968147,39.6590932614072,2.44420326354949e-09,4.91681213259429e-07,"SCML4"
7.61045533689244,5.90085834325316,1.65591687839219,10.4418830172175,0.00540224047539837,0.0348128795310737,"LAMTOR1"
3.99634726315907,5.86706772952498,1.43876313978606,11.895556559668,0.00261163640287023,0.0221646633370161,"ERICH6B"
3.84816822717403,5.82790127906839,1.42840374810066,12.5527803904108,0.00188017542522168,0.0179527205771969,"STEAP4"
3.50401051760343,5.79299771219447,1.59459405907301,11.7248642537,0.00284431752242738,0.0232512414271576,NA
3.71375843389423,5.76602507808366,1.20977557597264,19.3071583369978,6.41953892425777e-05,0.00183067541046937,"DRP2"
4.74061920285019,5.75516458535039,1.41262650375059,12.3587447417754,0.00207172772331184,0.0190486342737616,"C3orf52"
4.2954832333338,5.69309210252709,1.70574345589422,13.9374563490205,0.000940848740638645,0.0116139916164971,NA
2.65906108414349,5.67504682341377,1.90677864774198,11.6286144005087,0.00298454730500203,0.0240070671787436,"SRARP"
3.19241606282288,5.66662496998086,1.83391925843926,10.9254190511324,0.00424204622648584,0.0299133586582038,"LINC02504"
4.03265698770493,5.66223145657969,1.22104329088242,15.4443720715808,0.000442891368514396,0.00714288289458862,NA
3.49194665418996,5.63624946447011,1.44606179830103,12.0695796386652,0.00239399964691792,0.020832659165949,"CNTN1"
2.76127407446829,5.62877019905303,1.36044508836665,13.3828548358292,0.00124150935486369,0.0137713176277949,NA
9.76417811758083,5.58285195526125,1.61009030933643,12.8902183814038,0.00158827113516721,0.0161165672243347,NA
23.4025712010156,5.5794584049058,1.07841096431417,30.983007269726,1.87122260387225e-07,1.67078928978296e-05,"MKI67"
3.55494661872303,5.57044624776815,1.46607978767798,11.1801098066973,0.00373482280478036,0.0274958319841545,"PLP1"
2.87002350766948,5.53487334353053,1.63748820515722,9.8815734211928,0.0071489719874206,0.0408370130726851,"EWSAT1"
3.55371194130954,5.47451879435966,1.76968471582019,11.3127606847223,0.003495145258487,0.0265993008368343,"ZNF548"
3.46562235173186,5.44140061334479,1.57363589196731,14.4600005488606,0.000724520664319414,0.00980129673018734,"LOC107985211"
10.3409822021202,5.43818789048176,1.01565800017563,22.5958246344403,1.23987819846758e-05,0.000511269442171422,NA
4.68518251751437,5.42061515816718,1.25014209360382,12.0529586566794,0.00241397785881414,0.0209652709488374,"MAP9-AS1"
3.82333129816851,5.41565155446216,1.06671788345512,19.1775483618244,6.84933306018941e-05,0.0019165257882327,"CD27"
3.30912797495965,5.40017030321025,1.97163085832633,10.0963364211122,0.00642108475528176,0.0384691309980252,NA
3.81143936846102,5.39781190202913,1.79417383866323,10.4240263651637,0.00545068940170161,0.0350038664511347,"OR2T11"
7.05147530176008,5.39764025069343,1.42283563210158,10.8695757568796,0.00436216023125459,0.0304052238807081,NA
7.63795606669811,5.3811233288249,0.955126846073277,18.1501495710409,0.000114484079818851,0.00277107319054214,"ARHGEF39"
8.14999972764037,5.32967408759758,1.17923812907603,13.2156282689984,0.00134977936327582,0.0145494682126893,NA
2.09114163810592,5.32668601175279,1.32740286913437,14.4053035093993,0.000744608668554119,0.00996784589936746,"POT1"
3.94566997993176,5.32409823469957,1.23104070006351,15.1809885887164,0.000505231259272191,0.00771371541079573,"IL11RA"
8.58978556596838,5.31876217094144,1.17872693851623,16.5084400676236,0.000260158360422999,0.0049713958321653,"NREP"
6.5371186677932,5.29862712507036,1.40979061591179,11.3026386570222,0.00351287907474043,0.0266174179396286,NA
3.45318643567853,5.28982613059089,1.39900831297145,9.63776208497632,0.00807581858312408,0.0442198961523246,"DAAM2-AS1"
3.58314072883196,5.28552537100793,1.68218401987635,9.72591611099267,0.00772759140497812,0.0430190447473838,"KCNIP4-IT1"
3.65381238834516,5.27988851476243,0.978279367063615,33.8982054335588,4.35610377031351e-08,4.80333042406569e-06,"PPP1R2"
2.80803381578876,5.27887396953485,1.56296534338811,13.6056891418962,0.00111061143724946,0.0129531596361684,"LINC01446"
4.21769828815755,5.27335195569428,1.08852895392032,17.5422545715944,0.000155148585235907,0.00345222995489044,"EMID1"
2.93721122704273,5.26998794461469,1.74816404136474,10.4853240942064,0.00528616606598212,0.034404278148443,"CFAP107"
4.52015826036683,5.26172900903386,1.02532738683185,28.1112854557491,7.86523899403207e-07,5.71131452025177e-05,"CHORDC1"
3.47439257564905,5.26004276440756,1.23767608413512,16.4277967352496,0.000270862737897127,0.00511503774139597,"RNF216P1"
2.53800540043721,5.24896333506335,0.972285713758596,27.6320575542845,9.99481915074376e-07,6.92013385478938e-05,"ORC2"
