"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000201724",3.98822304099692,21.0284161106865,2.99605359430087,7.01870492259787,2.23934141608003e-12,3.63908380163496e-09,NA
"ENSG00000236763",3.95108123503721,21.0135159834319,2.99608299329892,7.01366284927055,2.32158456244654e-12,3.63908380163496e-09,NA
"ENSG00000113141",15.7052654596046,5.29716070063778,1.20168069993126,4.40812663542055,1.04268577218899e-05,0.0108960663193749,"IK"
"ENSG00000107862",9.90251669238009,-4.7276495480365,1.11487751529948,-4.24051026517163,2.23012235264121e-05,0.0174785839388255,"GBF1"
