"genes","value","phenotype","symbol"
"ENSG00000187699",1.15470044348787,"TN","C2orf88"
"ENSG00000139370",1.15470041695188,"TN","SLC15A4"
"ENSG00000263142",1.15470018688692,"TN","LRRC37A17P"
"ENSG00000036565",1.15469934983505,"TN","SLC18A1"
"ENSG00000168003",1.15469933132816,"TN","SLC3A2"
"ENSG00000013441",1.1546991171739,"TN","CLK1"
"ENSG00000079950",1.15469874814045,"TN","STX7"
"ENSG00000143379",1.15469860677254,"TN","SETDB1"
"ENSG00000158258",1.15469784319137,"TN","CLSTN2"
"ENSG00000119778",1.15469530849806,"TN","ATAD2B"
"ENSG00000279301",1.15469514468255,"TN","OR2T11"
"ENSG00000165923",1.1546936573356,"TN","AGBL2"
"ENSG00000285051",1.15469363914816,"TN","SLC7A14-AS1"
"ENSG00000062282",1.15469147848102,"TN","DGAT2"
"ENSG00000151726",1.15468945266423,"TN","ACSL1"
"ENSG00000183307",1.1546893451914,"TN","TMEM121B"
"ENSG00000278540",1.15468427373211,"TN","ACACA"
"ENSG00000280739",1.1546828355685,"TN","EIF1B-AS1"
"ENSG00000166257",1.15467971712302,"TN","SCN3B"
"ENSG00000187866",1.15467755845629,"TN","PABIR1"
"ENSG00000085185",1.15467526599629,"TN","BCORL1"
"ENSG00000151948",1.15467488681145,"TN","GLT1D1"
"ENSG00000128607",1.1546735130514,"TN","KLHDC10"
"ENSG00000145808",1.15467263554545,"TN","ADAMTS19"
"ENSG00000026297",1.15466895994437,"TN","RNASET2"
"ENSG00000197622",1.15466660929837,"TN","CDC42SE1"
"ENSG00000188643",1.15466636693026,"TN","S100A16"
"ENSG00000179583",1.15466533272199,"TN","CIITA"
"ENSG00000185942",1.15466442336891,"TN","NKAIN3"
"ENSG00000143751",1.15466174555191,"TN","SDE2"
"ENSG00000178394",1.15466022585826,"TN","HTR1A"
"ENSG00000165280",1.15465049214116,"TN","VCP"
"ENSG00000152256",1.15464769563486,"TN","PDK1"
"ENSG00000224300",1.15464572468148,"TN","OR51P1P"
"ENSG00000212747",1.15464455232808,"TN","RTL8B"
"ENSG00000103034",1.15464243876239,"TN","NDRG4"
"ENSG00000148053",1.15463906749408,"TN","NTRK2"
"ENSG00000133216",1.15463835217631,"TN","EPHB2"
"ENSG00000165156",1.15463515073267,"TN","ZHX1"
"ENSG00000258057",1.15463239722241,"TN","BCDIN3D-AS1"
"ENSG00000175606",1.15463035845899,"TN","TMEM70"
"ENSG00000121940",1.15462771014093,"TN","CLCC1"
"ENSG00000135506",1.15462568280675,"TN","OS9"
"ENSG00000101638",1.15462541812357,"TN","ST8SIA5"
"ENSG00000106299",1.15462456106202,"TN","WASL"
"ENSG00000236008",1.15462135859287,"TN","LINC01814"
"ENSG00000204175",1.15460448390158,"TN","GPRIN2"
"ENSG00000260228",1.15460335031345,"TN","CDH13-AS2"
"ENSG00000112531",1.15459895906957,"TN","QKI"
"ENSG00000143207",1.15459428213056,"TN","COP1"
"ENSG00000070018",1.15459337407288,"TN","LRP6"
"ENSG00000161714",1.15459101725572,"TN","PLCD3"
"ENSG00000290592",1.1545901896922,"TN","LOC107985211"
"ENSG00000109099",1.15458916953978,"TN","PMP22"
"ENSG00000065029",1.1545878717712,"TN","ZNF76"
"ENSG00000176293",1.15457731603066,"TN","ZNF135"
"ENSG00000128487",1.1545764143726,"TN","SPECC1"
"ENSG00000234284",1.15456058850595,"TN","ZNF879"
"ENSG00000291155",1.15455880044773,"TN","CT75"
"ENSG00000213186",1.15455182333922,"TN","TRIM59"
"ENSG00000107554",1.15454725424947,"TN","DNMBP"
"ENSG00000167548",1.15454162638415,"TN","KMT2D"
"ENSG00000198740",1.15453968553416,"TN","ZNF652"
"ENSG00000215231",1.15453540974558,"TN","LINC01020"
"ENSG00000137166",1.15452125461019,"TN","FOXP4"
"ENSG00000083168",1.15451787567395,"TN","KAT6A"
"ENSG00000132958",1.15451495553513,"TN","TPTE2"
"ENSG00000235142",1.15451481616166,"TN","LINC02532"
"ENSG00000143458",1.15451373058066,"TN","GABPB2"
"ENSG00000162623",1.15451067170028,"TN","TYW3"
"ENSG00000204569",1.15449998962107,"TN","PPP1R10"
"ENSG00000054118",1.15449365894579,"TN","THRAP3"
"ENSG00000036054",1.15449188442942,"TN","TBC1D23"
"ENSG00000147874",1.15449073660977,"TN","HAUS6"
"ENSG00000185811",1.15449059797803,"TN","IKZF1"
"ENSG00000132613",1.15446118836367,"TN","MTSS2"
"ENSG00000143437",1.15446000545004,"TN","ARNT"
"ENSG00000168970",1.15445600075252,"TN","JMJD7-PLA2G4B"
"ENSG00000284491",1.15445283116578,"TN","THSD8"
"ENSG00000155761",1.15444223018296,"TN","SPAG17"
"ENSG00000014123",1.15443264937607,"TN","UFL1"
"ENSG00000265992",1.15441719245258,"TN","ESRG"
"ENSG00000153253",1.15441649104435,"TN","SCN3A"
"ENSG00000103507",1.15441578278921,"TN","BCKDK"
"ENSG00000155760",1.15441285684239,"TN","FZD7"
"ENSG00000145794",1.15441178816432,"TN","MEGF10"
"ENSG00000136811",1.15439543113874,"TN","ODF2"
"ENSG00000284874",1.15438937419789,"TN","SEPT5-GP1BB"
"ENSG00000156639",1.15437721301668,"TN","ZFAND3"
"ENSG00000141002",1.15437329157218,"TN","TCF25"
"ENSG00000107937",1.15436972545149,"TN","GTPBP4"
"ENSG00000143373",1.15436795523507,"TN","ZNF687"
"ENSG00000231312",1.15435704087663,"TN","MAP4K3-DT"
"ENSG00000069248",1.15433451220745,"TN","NUP133"
"ENSG00000196204",1.15432006688014,"TN","RNF216P1"
"ENSG00000250802",1.1543186153336,"TN","ZBED3-AS1"
"ENSG00000164463",1.15430511316825,"TN","CREBRF"
"ENSG00000100280",1.1543050781138,"TN","AP1B1"
"ENSG00000112146",1.15430388227388,"TN","FBXO9"
"ENSG00000113761",1.15430035156302,"TN","ZNF346"
"ENSG00000105088",1.15429900004288,"TN","OLFM2"
"ENSG00000145604",1.1542987346415,"TN","SKP2"
"ENSG00000032444",1.15429539347654,"TN","PNPLA6"
"ENSG00000168439",1.15429504840981,"TN","STIP1"
"ENSG00000160145",1.15429429294787,"TN","KALRN"
"ENSG00000185985",1.15428973084807,"TN","SLITRK2"
"ENSG00000139154",1.15428220646811,"TN","AEBP2"
"ENSG00000198844",1.15427144052065,"TN","ARHGEF15"
"ENSG00000121879",1.15425561354746,"TN","PIK3CA"
"ENSG00000111817",1.15422982715654,"TN","DSE"
"ENSG00000124795",1.1542290082176,"TN","DEK"
"ENSG00000159337",1.1542082692788,"TN","PLA2G4D"
"ENSG00000137872",1.15418333270081,"TN","SEMA6D"
"ENSG00000110172",1.15417363759683,"TN","CHORDC1"
"ENSG00000168385",1.15417178689812,"TN","SEPTIN2"
"ENSG00000116675",1.15416502892504,"TN","DNAJC6"
"ENSG00000114853",1.15415704175574,"TN","ZBTB47"
"ENSG00000277758",1.15415508184962,"TN","SYT15B"
"ENSG00000163659",1.1541489434306,"TN","TIPARP"
"ENSG00000181467",1.15414622248614,"TN","RAP2B"
"ENSG00000146285",1.15413358671245,"TN","SCML4"
"ENSG00000164180",1.15413339003892,"TN","TMEM161B"
"ENSG00000183979",1.15411621435537,"TN","NPB"
"ENSG00000086015",1.15411275180708,"TN","MAST2"
"ENSG00000119547",1.15410666626632,"TN","ONECUT2"
"ENSG00000173064",1.15407707285969,"TN","HECTD4"
"ENSG00000023330",1.15407600339299,"TN","ALAS1"
"ENSG00000003147",1.15407583467743,"TN","ICA1"
"ENSG00000175155",1.15407192527468,"TN","YPEL2"
"ENSG00000125503",1.15406904279432,"TN","PPP1R12C"
"ENSG00000183401",1.15406097196447,"LumB","CCDC159"
"ENSG00000241878",1.15404941406716,"TN","PISD"
"ENSG00000169372",1.15403155895032,"TN","CRADD"
"ENSG00000128656",1.15403001687702,"TN","CHN1"
"ENSG00000289586",1.15400209898407,"TN","LOC105377294"
"ENSG00000189180",1.15399581462218,"TN","ZNF33A"
"ENSG00000163867",1.15399097345932,"TN","ZMYM6"
"ENSG00000143889",1.15398048712851,"TN","HNRNPLL"
"ENSG00000155393",1.15397421955888,"TN","HEATR3"
"ENSG00000074800",1.15395918382016,"TN","ENO1"
"ENSG00000112769",1.15393089276424,"TN","LAMA4"
"ENSG00000153339",1.15392551474008,"TN","TRAPPC8"
"ENSG00000172890",1.15390424474504,"TN","NADSYN1"
"ENSG00000115904",1.1538925744067,"TN","SOS1"
"ENSG00000172817",1.15389187294984,"TN","CYP7B1"
"ENSG00000234715",1.15386886145012,"TN","SLC26A5-AS1"
"ENSG00000081760",1.15386082967484,"TN","AACS"
"ENSG00000142347",1.15386035593619,"TN","MYO1F"
"ENSG00000109381",1.15385912301103,"TN","ELF2"
"ENSG00000170776",1.15385268466371,"TN","AKAP13"
"ENSG00000142867",1.15384212804492,"TN","BCL10"
"ENSG00000184752",1.1537622766698,"TN","NDUFA12"
"ENSG00000078900",1.153757799496,"TN","TP73"
"ENSG00000198721",1.15374016076514,"TN","ECI2"
"ENSG00000231365",1.1537352231632,"TN","WARS2-AS1"
"ENSG00000158683",1.15373467719551,"TN","PKD1L1"
"ENSG00000172752",1.15372957408543,"TN","COL6A5"
"ENSG00000201896",1.15371585622277,"TN","RN7SKP153"
"ENSG00000132692",1.15370743751436,"TN","BCAN"
"ENSG00000186479",1.15369102779732,"TN","RGS7BP"
"ENSG00000174502",1.15369081196672,"TN","SLC26A9"
"ENSG00000157851",1.15368965778361,"TN","DPYSL5"
"ENSG00000064995",1.15363318156192,"TN","TAF11"
"ENSG00000141837",1.15360818983821,"TN","CACNA1A"
"ENSG00000107140",1.15360538398775,"TN","TESK1"
"ENSG00000141096",1.15359923041954,"TN","DPEP3"
"ENSG00000184203",1.15359563281224,"TN","PPP1R2"
"ENSG00000172009",1.15359485385323,"TN","THOP1"
"ENSG00000159063",1.15359337378507,"TN","ALG8"
"ENSG00000125826",1.15357674921529,"TN","RBCK1"
"ENSG00000249738",1.15357163499433,"TN","LOC285626"
"ENSG00000196458",1.15356577885562,"TN","ZNF605"
"ENSG00000181904",1.15356374491626,"TN","C5orf24"
"ENSG00000146830",1.15353216767589,"TN","GIGYF1"
"ENSG00000135842",1.15352268232571,"TN","NIBAN1"
"ENSG00000157330",1.15351976952199,"TN","CFAP107"
"ENSG00000107282",1.15350436246389,"TN","APBA1"
"ENSG00000133313",1.15350135546862,"TN","CNDP2"
"ENSG00000277363",1.15348937388631,"TN","SRCIN1"
"ENSG00000231721",1.15347771306335,"TN","LINC-PINT"
"ENSG00000143153",1.15347478369343,"TN","ATP1B1"
"ENSG00000132182",1.1534710190049,"TN","NUP210"
"ENSG00000105879",1.15344976746654,"TN","CBLL1"
"ENSG00000162989",1.15344815387983,"TN","KCNJ3"
"ENSG00000109819",1.15342941292575,"TN","PPARGC1A"
"ENSG00000183248",1.15341618090625,"TN","PRR36"
"ENSG00000167460",1.15341595543362,"TN","TPM4"
"ENSG00000106078",1.15340286957569,"TN","COBL"
"ENSG00000130997",1.15339496083194,"TN","POLN"
"ENSG00000288920",1.15339296772425,"TN","RPSA2"
"ENSG00000141664",1.15337050974741,"TN","ZCCHC2"
"ENSG00000105193",1.1533669293067,"TN","RPS16"
"ENSG00000152578",1.15336486637979,"TN","GRIA4"
"ENSG00000203875",1.15331169785006,"TN","SNHG5"
"ENSG00000049130",1.15330517002903,"TN","KITLG"
"ENSG00000170775",1.15330156128652,"TN","GPR37"
"ENSG00000153885",1.153294589044,"TN","KCTD15"
"ENSG00000164530",1.15324803307035,"TN","PI16"
"ENSG00000071909",1.15324372270708,"TN","MYO3B"
"ENSG00000198393",1.15323762055907,"TN","ZNF26"
"ENSG00000090487",1.15323465247707,"TN","SPG21"
"ENSG00000145216",1.15321661773395,"TN","FIP1L1"
"ENSG00000106868",1.1532144717099,"TN","SUSD1"
"ENSG00000165929",1.15320311469077,"TN","TC2N"
"ENSG00000079616",1.15320270013217,"TN","KIF22"
"ENSG00000093183",1.15319598779806,"TN","SEC22C"
"ENSG00000147130",1.15316315337053,"TN","ZMYM3"
"ENSG00000112335",1.15315053641738,"LumB","SNX3"
"ENSG00000163053",1.1531456273833,"TN","SLC16A14"
"ENSG00000204283",1.15311064192777,"TN","LINC01973"
"ENSG00000145907",1.15308605375097,"TN","G3BP1"
"ENSG00000116983",1.15307794593062,"TN","HPCAL4"
"ENSG00000196141",1.15306890815936,"TN","SPATS2L"
"ENSG00000101868",1.15306705617905,"TN","POLA1"
"ENSG00000174891",1.15306274131799,"TN","RSRC1"
"ENSG00000122085",1.15305510367896,"TN","MTERF4"
"ENSG00000214517",1.15304206393867,"TN","PPME1"
"ENSG00000153560",1.15303261680489,"TN","UBP1"
"ENSG00000108590",1.1530231860908,"TN","MED31"
"ENSG00000153029",1.15300996019747,"TN","MR1"
"ENSG00000122359",1.15300580275923,"TN","ANXA11"
"ENSG00000055957",1.15299230354175,"TN","ITIH1"
"ENSG00000167483",1.15298604269517,"TN","NIBAN3"
"ENSG00000161973",1.15298174069185,"TN","CCDC42"
"ENSG00000106333",1.15295908838881,"TN","PCOLCE"
"ENSG00000158470",1.15293827735057,"TN","B4GALT5"
"ENSG00000177463",1.15293591890841,"TN","NR2C2"
"ENSG00000145362",1.15293379934311,"TN","ANK2"
"ENSG00000173653",1.15292912159622,"TN","RCE1"
"ENSG00000231074",1.15291695695348,"TN","HCG18"
"ENSG00000047315",1.15289765300967,"TN","POLR2B"
"ENSG00000180354",1.15289161487035,"TN","MTURN"
"ENSG00000291171",1.15286806999486,"TN","EP400P1"
"ENSG00000067113",1.1528451500756,"HER2","PLPP1"
"ENSG00000164221",1.15280600061901,"TN","CCDC112"
"ENSG00000128602",1.15280211660505,"TN","SMO"
"ENSG00000149948",1.15278087863053,"TN","HMGA2"
"ENSG00000104313",1.1527727903915,"TN","EYA1"
"ENSG00000248309",1.15274900247931,"TN","MEF2C-AS1"
"ENSG00000138785",1.15271683623694,"TN","INTS12"
"ENSG00000075413",1.15268387885529,"TN","MARK3"
"ENSG00000169375",1.15268123614646,"TN","SIN3A"
"ENSG00000138095",1.15267691428529,"TN","LRPPRC"
"ENSG00000168259",1.1526114852971,"TN","DNAJC7"
"ENSG00000106344",1.15260030440073,"TN","RBM28"
"ENSG00000176834",1.15258967218136,"TN","VSIG10"
"ENSG00000144840",1.15258081370244,"TN","RABL3"
"ENSG00000113971",1.15257535555617,"TN","NPHP3"
"ENSG00000244754",1.15257288762306,"TN","N4BP2L2"
"ENSG00000136770",1.1525694191202,"TN","DNAJC1"
"ENSG00000187950",1.15251878993755,"TN","OVCH1"
"ENSG00000163918",1.15247397345547,"TN","RFC4"
"ENSG00000099977",1.15246847185594,"LumB","DDT"
"ENSG00000240137",1.15243576582525,"TN","ERICH6-AS1"
"ENSG00000168398",1.15240513003513,"TN","BDKRB2"
"ENSG00000254211",1.15238330998232,"TN","LINC01485"
"ENSG00000164691",1.15237959764256,"TN","TAGAP"
"ENSG00000259153",1.15237554416571,"TN","MAP3K9-DT"
"ENSG00000185352",1.15235587207042,"TN","HS6ST3"
"ENSG00000126259",1.15226991231132,"TN","KIRREL2"
"ENSG00000231607",1.15226748246873,"TN","DLEU2"
"ENSG00000137713",1.15226105314343,"TN","PPP2R1B"
"ENSG00000162924",1.15225781495412,"TN","REL"
"ENSG00000140521",1.15224828659726,"TN","POLG"
"ENSG00000160613",1.15223698226772,"TN","PCSK7"
"ENSG00000197780",1.15216491161505,"TN","TAF13"
"ENSG00000100503",1.15214168456303,"TN","NIN"
"ENSG00000108960",1.15211846018191,"TN","MMD"
"ENSG00000175764",1.15211060339486,"TN","TTLL11"
"ENSG00000159140",1.15210647050269,"TN","SON"
"ENSG00000135338",1.1520405732345,"TN","LCA5"
"ENSG00000105700",1.1520286861201,"TN","KXD1"
"ENSG00000085662",1.15200981447828,"TN","AKR1B1"
"ENSG00000166979",1.15200954051938,"TN","EVA1C"
"ENSG00000085733",1.15199053878265,"TN","CTTN"
"ENSG00000122257",1.15197858603208,"TN","RBBP6"
"ENSG00000259494",1.15193043496881,"TN","MRPL46"
"ENSG00000183454",1.1519224221394,"TN","GRIN2A"
"ENSG00000178440",1.15190735852393,"TN","TIMM23B-AGAP6"
"ENSG00000072041",1.1519049845776,"TN","SLC6A15"
"ENSG00000173442",1.15187505970543,"TN","EHBP1L1"
"ENSG00000270112",1.15186162762223,"TN","ST8SIA5-DT"
"ENSG00000183888",1.15184453809041,"TN","SRARP"
"ENSG00000115170",1.15183572860218,"TN","ACVR1"
"ENSG00000288534",1.15183150967503,"TN","TMX2-CTNND1"
"ENSG00000197601",1.15182768684846,"TN","FAR1"
"ENSG00000284693",1.15181624010629,"TN","LINC02606"
"ENSG00000152457",1.15178698006439,"TN","DCLRE1C"
"ENSG00000153531",1.15178038801041,"TN","ADPRHL1"
"ENSG00000083457",1.15171972995222,"HER2","ITGAE"
"ENSG00000092931",1.15166263231847,"TN","MFSD11"
"ENSG00000120798",1.15166215601645,"TN","NR2C1"
"ENSG00000173193",1.15159100327291,"TN","PARP14"
"ENSG00000103489",1.15154783076462,"TN","XYLT1"
"ENSG00000080845",1.15150704213877,"TN","DLGAP4"
"ENSG00000111961",1.15149842862716,"TN","SASH1"
"ENSG00000175182",1.15146724298495,"TN","FAM131A"
"ENSG00000198270",1.15140364618222,"TN","TMEM116"
"ENSG00000151692",1.15139659517857,"TN","RNF144A"
"ENSG00000198162",1.15139544031694,"TN","MAN1A2"
"ENSG00000168309",1.1513547592952,"TN","FAM107A"
"ENSG00000113361",1.15132796334099,"TN","CDH6"
"ENSG00000144057",1.15132083519742,"TN","ST6GAL2"
"ENSG00000126215",1.15132069958318,"TN","XRCC3"
"ENSG00000183208",1.15130428392108,"TN","GDPGP1"
"ENSG00000221926",1.15128984091728,"TN","TRIM16"
"ENSG00000050438",1.15127498653657,"TN","SLC4A8"
"ENSG00000164050",1.15126270828909,"TN","PLXNB1"
"ENSG00000143554",1.15124386009203,"TN","SLC27A3"
"ENSG00000117036",1.15121546586476,"TN","ETV3"
"ENSG00000175866",1.1511927419254,"TN","BAIAP2"
"ENSG00000148219",1.15114409085445,"TN","ASTN2"
"ENSG00000162714",1.15112491700839,"TN","ZNF496"
"ENSG00000100401",1.1511224962916,"TN","RANGAP1"
"ENSG00000125863",1.15109522081271,"TN","MKKS"
"ENSG00000058866",1.15108312982173,"TN","DGKG"
"ENSG00000161970",1.1510735900401,"TN","RPL26"
"ENSG00000138138",1.15106084220576,"TN","ATAD1"
"ENSG00000123395",1.1510248284394,"TN","ATG101"
"ENSG00000183778",1.15102223547945,"TN","B3GALT5"
"ENSG00000180822",1.15098797110104,"TN","PSMG4"
"ENSG00000163812",1.15098705288298,"TN","ZDHHC3"
"ENSG00000143315",1.15098611916544,"TN","PIGM"
"ENSG00000133985",1.15097845248287,"TN","TTC9"
"ENSG00000221888",1.15092746401972,"TN","OR1C1"
"ENSG00000276255",1.15091543155143,"LumB","LINC02809"
"ENSG00000165899",1.15090794446929,"TN","OTOGL"
"ENSG00000156687",1.15090413152831,"TN","UNC5D"
"ENSG00000130600",1.15086856924613,"TN","H19"
"ENSG00000184903",1.15086673092423,"TN","IMMP2L"
"ENSG00000136828",1.15084392727918,"TN","RALGPS1"
"ENSG00000004846",1.15073806137161,"TN","ABCB5"
"ENSG00000162804",1.15069992422359,"TN","SNED1"
"ENSG00000266964",1.15069349922819,"TN","FXYD1"
"ENSG00000169087",1.15062073003559,"TN","HSPBAP1"
"ENSG00000130508",1.15061227919518,"TN","PXDN"
"ENSG00000133687",1.15061190236935,"TN","TMTC1"
"ENSG00000111266",1.15059071371004,"TN","DUSP16"
"ENSG00000250303",1.15058277379256,"TN","LINC02762"
"ENSG00000161091",1.15054243428831,"TN","MFSD12"
"ENSG00000168367",1.15052135819348,"TN","LINC00917"
"ENSG00000010539",1.15051239005223,"TN","ZNF200"
"ENSG00000240303",1.1504717093868,"TN","ACAD11"
"ENSG00000134262",1.15041583379211,"TN","AP4B1"
"ENSG00000197614",1.15040013131811,"TN","MFAP5"
"ENSG00000172987",1.15039257632645,"TN","HPSE2"
"ENSG00000080503",1.15035294004376,"TN","SMARCA2"
"ENSG00000100461",1.15033639397614,"TN","RBM23"
"ENSG00000138107",1.15031158180766,"TN","ACTR1A"
"ENSG00000157103",1.15026150166304,"TN","SLC6A1"
"ENSG00000213619",1.15026125678303,"TN","NDUFS3"
"ENSG00000128917",1.15025474248082,"TN","DLL4"
"ENSG00000198758",1.15021611329948,"TN","EPS8L3"
"ENSG00000005108",1.15020121113676,"TN","THSD7A"
"ENSG00000235257",1.15019899962378,"TN","ITGA9-AS1"
"ENSG00000182134",1.15014795160848,"TN","TDRKH"
"ENSG00000198408",1.15010908585819,"TN","OGA"
"ENSG00000267270",1.15009360919644,"TN","PARD6G-AS1"
"ENSG00000167065",1.15008546803812,"TN","DUSP18"
"ENSG00000171408",1.15007328084959,"TN","PDE7B"
"ENSG00000132669",1.15004117766949,"TN","RIN2"
"ENSG00000179532",1.15003583640423,"TN","DNHD1"
"ENSG00000224843",1.15003486696227,"TN","LINC00240"
"ENSG00000229140",1.15002692400293,"TN","CCDC26"
"ENSG00000145819",1.14997024599567,"TN","ARHGAP26"
"ENSG00000140279",1.1499279921339,"TN","DUOX2"
"ENSG00000182197",1.14990001568098,"TN","EXT1"
"ENSG00000164631",1.14988980446427,"TN","ZNF12"
"ENSG00000182541",1.1498693825981,"TN","LIMK2"
"ENSG00000143365",1.14985979204604,"TN","RORC"
"ENSG00000197043",1.14985097112284,"TN","ANXA6"
"ENSG00000144445",1.14984251256319,"TN","KANSL1L"
"ENSG00000151150",1.14983710098312,"TN","ANK3"
"ENSG00000085265",1.14983233769455,"TN","FCN1"
"ENSG00000155629",1.14982789638336,"TN","PIK3AP1"
"ENSG00000213585",1.1497895091751,"TN","VDAC1"
"ENSG00000137218",1.1497522590249,"TN","FRS3"
"ENSG00000182103",1.14974633198107,"TN","FAM181B"
"ENSG00000225539",1.14971154773224,"TN","LINC01821"
"ENSG00000197706",1.14968493971626,"TN","OR6C74"
"ENSG00000102030",1.14968041016899,"TN","NAA10"
"ENSG00000100106",1.14953213003811,"TN","TRIOBP"
"ENSG00000168216",1.14950565253855,"TN","LMBRD1"
"ENSG00000131143",1.14942639457558,"TN","COX4I1"
"ENSG00000138764",1.14934122471767,"TN","CCNG2"
"ENSG00000047578",1.1493002280368,"TN","KATNIP"
"ENSG00000077264",1.14929594165583,"TN","PAK3"
"ENSG00000130703",1.14928107959557,"TN","OSBPL2"
"ENSG00000266028",1.1492399197218,"TN","SRGAP2"
"ENSG00000182040",1.14919480308089,"TN","USH1G"
"ENSG00000165650",1.14919048765235,"TN","PDZD8"
"ENSG00000186143",1.14919043081429,"TN","PRR30"
"ENSG00000115866",1.14909519182652,"TN","DARS1"
"ENSG00000166341",1.14909432371568,"TN","DCHS1"
"ENSG00000020577",1.14908249716136,"TN","SAMD4A"
"ENSG00000186522",1.14907600461443,"TN","SEPTIN10"
"ENSG00000054983",1.14906433132594,"TN","GALC"
"ENSG00000143815",1.14906341812072,"TN","LBR"
"ENSG00000116106",1.14902229556078,"TN","EPHA4"
"ENSG00000177082",1.14900811666444,"TN","WDR73"
"ENSG00000172172",1.14894999817937,"TN","MRPL13"
"ENSG00000179134",1.14893298644044,"TN","SAMD4B"
"ENSG00000240583",1.14892601411799,"TN","AQP1"
"ENSG00000100664",1.14890523967864,"TN","EIF5"
"ENSG00000186487",1.1488639402574,"TN","MYT1L"
"ENSG00000154760",1.14885743577868,"TN","SLFN13"
"ENSG00000005379",1.14881264695003,"TN","TSPOAP1"
"ENSG00000183098",1.14880216859927,"TN","GPC6"
"ENSG00000166946",1.14872602497694,"TN","CCNDBP1"
"ENSG00000185973",1.1487238672621,"TN","TMLHE"
"ENSG00000153896",1.14869518883435,"TN","ZNF599"
"ENSG00000159459",1.14862471157439,"TN","UBR1"
"ENSG00000185697",1.1486026083399,"TN","MYBL1"
"ENSG00000146833",1.14853586629822,"TN","TRIM4"
"ENSG00000197563",1.14851043223201,"TN","PIGN"
"ENSG00000152520",1.14849252108878,"TN","PAN3"
"ENSG00000164946",1.14842554825032,"TN","FREM1"
"ENSG00000206384",1.1484232615201,"TN","COL6A6"
"ENSG00000187239",1.14835036587442,"TN","FNBP1"
"ENSG00000224271",1.14834480097446,"TN","EPIC1"
"ENSG00000105248",1.14825956300226,"TN","YJU2"
"ENSG00000121764",1.14823553680396,"TN","HCRTR1"
"ENSG00000221843",1.14818389329867,"TN","C2orf16"
"ENSG00000136630",1.14813611957652,"TN","HLX"
"ENSG00000110917",1.14807636076082,"LumB","MLEC"
"ENSG00000075426",1.14805113910504,"TN","FOSL2"
"ENSG00000132549",1.14804200699722,"TN","VPS13B"
"ENSG00000088827",1.14804137022913,"TN","SIGLEC1"
"ENSG00000107521",1.14801286981912,"TN","HPS1"
"ENSG00000228451",1.14800554873104,"LumB","SDAD1P1"
"ENSG00000250910",1.14799956647547,"TN","MAP9-AS1"
"ENSG00000162769",1.14787423233006,"TN","FLVCR1"
"ENSG00000066926",1.14781778983363,"TN","FECH"
"ENSG00000139890",1.14778581974753,"TN","REM2"
"ENSG00000121644",1.14778367353412,"TN","DESI2"
"ENSG00000070010",1.14777381012875,"TN","UFD1"
"ENSG00000100023",1.14774897030006,"TN","PPIL2"
"ENSG00000133114",1.14771141250647,"TN","GPALPP1"
"ENSG00000166473",1.14770433901236,"TN","PKD1L2"
"ENSG00000274810",1.14758723312556,"TN","NPHP3-ACAD11"
"ENSG00000163618",1.14757389449925,"TN","CADPS"
"ENSG00000269893",1.1475135707569,"TN","SNHG8"
"ENSG00000120334",1.14749641979135,"TN","CENPL"
"ENSG00000231925",1.14747641891021,"TN","TAPBP"
"ENSG00000186472",1.14746449430229,"TN","PCLO"
"ENSG00000085644",1.14734931753632,"TN","ZNF213"
"ENSG00000133703",1.14727785949443,"HER2","KRAS"
"ENSG00000142166",1.14725983898439,"TN","IFNAR1"
"ENSG00000159263",1.14723911034296,"TN","SIM2"
"ENSG00000107281",1.14722568674775,"TN","NPDC1"
"ENSG00000138756",1.14721071366275,"TN","BMP2K"
"ENSG00000251136",1.14720900351889,"TN","RIPK2-DT"
"ENSG00000134917",1.14720223602561,"HER2","ADAMTS8"
"ENSG00000168405",1.14715838764776,"TN","CMAHP"
"ENSG00000240498",1.14711539864328,"TN","CDKN2B-AS1"
"ENSG00000137070",1.14704723124699,"TN","IL11RA"
"ENSG00000159784",1.14698565474139,"TN","FAM131B"
"ENSG00000188803",1.14697752852894,"TN","SHISA6"
"ENSG00000183250",1.14696209936014,"TN","LINC01547"
"ENSG00000235034",1.1469448558697,"TN","C19orf81"
"ENSG00000266962",1.14693680057588,"HER2","HSD17B1-AS1"
"ENSG00000117139",1.1469360963847,"TN","KDM5B"
"ENSG00000169641",1.14692726562256,"TN","LUZP1"
"ENSG00000261819",1.14675511097053,"TN","LOC728138"
"ENSG00000157557",1.14672469839805,"TN","ETS2"
"ENSG00000170581",1.1467124866618,"TN","STAT2"
"ENSG00000165678",1.14670480335576,"TN","GHITM"
"ENSG00000237975",1.14667655458432,"TN","FLG-AS1"
"ENSG00000143858",1.1466554434421,"TN","SYT2"
"ENSG00000180592",1.14664308436,"TN","SKIDA1"
"ENSG00000140961",1.14658777220672,"TN","OSGIN1"
"ENSG00000171466",1.14651858656281,"TN","ZNF562"
"ENSG00000169599",1.14650672988846,"TN","NFU1"
"ENSG00000173473",1.14646130905522,"TN","SMARCC1"
"ENSG00000181104",1.14644214048821,"TN","F2R"
"ENSG00000044574",1.14639854493673,"TN","HSPA5"
"ENSG00000138640",1.14639554240391,"TN","FAM13A"
"ENSG00000059377",1.14634039328161,"TN","TBXAS1"
"ENSG00000127022",1.14632626101069,"TN","CANX"
