"genes","value","phenotype","symbol"
"ENSG00000137509",-0.354314618618895,"LumB","PRCP"
"ENSG00000145700",-0.354759300642518,"HER2","ANKRD31"
"ENSG00000280350",-0.354843648640112,"LumB","LINC01726"
"ENSG00000132975",-0.355316683478617,"HER2","GPR12"
"ENSG00000006125",-0.356156410216688,"LumB","AP2B1"
"ENSG00000261371",-0.356176855615121,"LumB","PECAM1"
"ENSG00000103266",-0.356256775457923,"HER2","STUB1"
"ENSG00000167658",-0.356819011590547,"LumB","EEF2"
"ENSG00000005810",-0.35705008952505,"HER2","MYCBP2"
"ENSG00000126088",-0.357354162528519,"TN","UROD"
"ENSG00000110429",-0.357428891471043,"LumB","FBXO3"
"ENSG00000246308",-0.357460574166677,"LumB","LOC101928053"
"ENSG00000198168",-0.357692106617792,"LumB","SVIP"
"ENSG00000173517",-0.357719816559414,"HER2","PEAK1"
"ENSG00000225951",-0.358034117593283,"LumB","ODF2-AS1"
"ENSG00000105186",-0.358329399216875,"LumB","ANKRD27"
"ENSG00000179299",-0.358728417162609,"TN","NSUN7"
"ENSG00000175084",-0.358895357103148,"LumB","DES"
"ENSG00000082701",-0.359544505181811,"HER2","GSK3B"
"ENSG00000172578",-0.359887907437164,"LumB","KLHL6"
"ENSG00000213066",-0.360543661187512,"HER2","CEP43"
"ENSG00000134900",-0.360770728094369,"TN","TPP2"
"ENSG00000136098",-0.36096892408724,"LumB","NEK3"
"ENSG00000179965",-0.361012552015882,"HER2","ZNF771"
"ENSG00000162599",-0.361348968519017,"HER2","NFIA"
"ENSG00000198858",-0.361548809598828,"HER2","R3HDM4"
"ENSG00000122550",-0.362057289902517,"LumB","KLHL7"
"ENSG00000151414",-0.362132710941326,"HER2","NEK7"
"ENSG00000135002",-0.362391141152083,"LumB","RFK"
"ENSG00000175048",-0.362563605119102,"LumB","ZDHHC14"
"ENSG00000167723",-0.362975191962355,"LumB","TRPV3"
"ENSG00000164296",-0.363401098151709,"LumB","TIGD6"
"ENSG00000150625",-0.363815653254925,"LumB","GPM6A"
"ENSG00000164970",-0.363892448002667,"HER2","FAM219A"
"ENSG00000204525",-0.36405207930317,"TN","HLA-C"
"ENSG00000105136",-0.364158262000225,"LumB","ZNF419"
"ENSG00000081377",-0.36486309936214,"HER2","CDC14B"
"ENSG00000203739",-0.364946078523741,"HER2","PRDX6-AS1"
"ENSG00000174744",-0.36543797885198,"TN","BRMS1"
"ENSG00000132478",-0.365788803737042,"LumB","UNK"
"ENSG00000134755",-0.366008123211545,"LumB","DSC2"
"ENSG00000086548",-0.366399648298257,"LumB","CEACAM6"
"ENSG00000077235",-0.366472709568202,"LumB","GTF3C1"
"ENSG00000174238",-0.36675501760165,"LumB","PITPNA"
"ENSG00000242086",-0.366882151174537,"HER2","SDHAP2"
"ENSG00000100815",-0.366906689672842,"LumB","TRIP11"
"ENSG00000133030",-0.367124623239514,"HER2","MPRIP"
"ENSG00000144554",-0.367136421830627,"HER2","FANCD2"
"ENSG00000189241",-0.367142946257842,"LumB","TSPYL1"
"ENSG00000051620",-0.367226981432996,"HER2","HEBP2"
"ENSG00000163710",-0.367920050072249,"HER2","PCOLCE2"
"ENSG00000121297",-0.368603841317906,"LumB","TSHZ3"
"ENSG00000018408",-0.36901009657549,"HER2","WWTR1"
"ENSG00000139644",-0.369056077299303,"LumB","TMBIM6"
"ENSG00000181036",-0.369408736035714,"LumB","FCRL6"
"ENSG00000279170",-0.36946248030685,"LumB","TSTD3"
"ENSG00000158161",-0.369788376301599,"HER2","EYA3"
"ENSG00000162704",-0.369849374673829,"HER2","ARPC5"
"ENSG00000105810",-0.370998245229269,"HER2","CDK6"
"ENSG00000160801",-0.371363845457508,"HER2","PTH1R"
"ENSG00000134830",-0.371388183788403,"HER2","C5AR2"
"ENSG00000121406",-0.371420597707127,"HER2","ZNF549"
"ENSG00000139687",-0.371973718257416,"HER2","RB1"
"ENSG00000173210",-0.372448924129699,"HER2","ABLIM3"
"ENSG00000157106",-0.372548829963201,"LumB","SMG1"
"ENSG00000072134",-0.373209168827529,"LumB","EPN2"
"ENSG00000115548",-0.373439871953888,"LumB","KDM3A"
"ENSG00000123066",-0.373735810190827,"LumB","MED13L"
"ENSG00000142677",-0.373946829627344,"LumB","IL22RA1"
"ENSG00000196705",-0.374260733840961,"LumB","ZNF431"
"ENSG00000136153",-0.374582160147937,"HER2","LMO7"
"ENSG00000099219",-0.375155332728108,"HER2","ERMP1"
"ENSG00000196878",-0.375358794316214,"LumB","LAMB3"
"ENSG00000157326",-0.375601641824444,"LumB","DHRS4"
"ENSG00000149761",-0.376086792328346,"LumB","NUDT22"
"ENSG00000110955",-0.376179667505941,"LumB","ATP5F1B"
"ENSG00000273274",-0.376222276443392,"LumB","ZBTB8B"
"ENSG00000131791",-0.376813343286302,"HER2","PRKAB2"
"ENSG00000099956",-0.377647056742419,"LumB","SMARCB1"
"ENSG00000161692",-0.377693045846018,"HER2","DBF4B"
"ENSG00000135414",-0.377838214538356,"LumB","GDF11"
"ENSG00000166851",-0.378086618508329,"LumB","PLK1"
"ENSG00000171357",-0.378406874897287,"HER2","LURAP1"
"ENSG00000105993",-0.378525834866205,"LumB","DNAJB6"
"ENSG00000157954",-0.378679159765554,"HER2","WIPI2"
"ENSG00000068305",-0.379102966054616,"HER2","MEF2A"
"ENSG00000112305",-0.379695936796685,"LumB","SMAP1"
"ENSG00000167775",-0.380446115338994,"LumB","CD320"
"ENSG00000122783",-0.380596644558988,"LumB","CYREN"
